datetime,player,score
2022-04-08 16:17:04.273292,red,0
2022-04-08 16:18:03.534458,red,0
2022-04-08 16:18:36.944852,red,0
2022-04-08 16:20:16.869747,blue,0
2022-04-08 16:20:24.087143,red,0
2022-04-08 16:20:45.998767,red,0
2022-04-08 16:21:03.949501,red,0
2022-04-08 17:06:08.913688,blue,0
2022-04-08 17:06:40.296586,red,0
2022-04-08 17:06:42.482583,red,0
2022-04-08 17:06:47.450756,blue,0
2022-04-08 17:06:52.159456,red,0
2022-04-08 17:06:52.162455,blue,0
2022-04-08 17:06:52.224282,red,0
2022-04-08 17:06:52.227284,blue,0
2022-04-08 17:06:52.291428,red,0
2022-04-08 17:06:52.294429,blue,0
2022-04-08 17:06:52.357605,red,0
2022-04-08 17:06:52.358106,blue,0
2022-04-08 17:06:56.596899,red,0
2022-04-08 17:06:56.597899,blue,0
2022-04-08 17:06:56.663139,red,0
2022-04-08 17:06:56.663139,blue,0
2022-04-08 17:06:56.729888,red,0
2022-04-08 17:06:56.730389,blue,0
2022-04-08 17:06:56.796133,red,0
2022-04-08 17:06:56.796633,blue,0
2022-04-08 17:07:09.652496,red,0
2022-04-08 17:07:17.404361,blue,0
2022-04-08 17:07:26.478870,red,0
2022-04-08 17:07:31.371617,red,0
2022-04-08 17:09:33.515097,red,0
2022-04-08 17:10:01.176434,red,0
